Time t;Delay
0.102928;3.02799e-05
0.102959;3.02822e-05
0.10299;3.02844e-05
0.103021;3.02867e-05
0.103052;3.0289e-05
0.103083;3.02912e-05
0.103114;3.02935e-05
0.103145;3.02958e-05
0.103176;3.0298e-05
0.103207;3.03003e-05
0.103238;3.03026e-05
0.103269;3.03049e-05
0.1033;3.03072e-05
0.103331;3.03094e-05
0.103362;3.03117e-05
0.103393;3.0314e-05
0.103424;3.03163e-05
0.103455;3.03186e-05
0.103486;3.03208e-05
0.103517;3.03231e-05
0.103548;3.03254e-05
0.103579;3.03277e-05
0.10361;3.033e-05
0.103641;3.03323e-05
0.103672;3.03346e-05
0.103703;3.03369e-05
0.103734;3.03392e-05
0.103765;3.03415e-05
0.103796;3.03437e-05
0.103827;3.0346e-05
0.103858;3.03483e-05
0.103889;3.03506e-05
0.10392;3.03529e-05
0.103951;3.03552e-05
0.103982;3.03575e-05
0.104013;3.03598e-05
0.104044;3.03621e-05
0.104075;3.03644e-05
0.104106;3.03667e-05
0.104137;3.0369e-05
0.104168;3.03714e-05
0.104199;3.03737e-05
0.10423;3.0376e-05
0.104261;3.03783e-05
0.104292;3.03806e-05
0.104323;3.03829e-05
0.104354;3.03852e-05
0.104385;3.03875e-05
0.104416;3.03898e-05
0.104447;3.03922e-05
0.104478;3.03945e-05
0.104509;3.03968e-05
0.10454;3.03991e-05
0.104571;3.04014e-05
0.104602;3.04037e-05
0.104633;3.04061e-05
0.104664;3.04084e-05
0.104694;3.04107e-05
0.104725;3.0413e-05
0.104756;3.04153e-05
0.104787;3.04177e-05
0.104818;3.042e-05
0.104849;3.04223e-05
0.10488;3.04247e-05
0.104911;3.0427e-05
0.104942;3.04293e-05
0.104973;3.04316e-05
0.105004;3.0434e-05
0.105035;3.04363e-05
0.105066;3.04386e-05
0.105097;3.0441e-05
0.105128;3.04433e-05
0.105159;3.04456e-05
0.10519;3.0448e-05
0.105221;3.04503e-05
0.105252;3.04527e-05
0.105283;3.0455e-05
0.105314;3.04573e-05
0.105345;3.04597e-05
0.105376;3.0462e-05
0.105407;3.04644e-05
0.105438;3.04667e-05
0.105469;3.0469e-05
0.1055;3.04714e-05
0.105531;3.04737e-05
0.105562;3.04761e-05
0.105593;3.04784e-05
0.105624;3.04808e-05
0.105655;3.04831e-05
0.105686;3.04855e-05
0.105717;3.04878e-05
0.105748;3.04902e-05
0.105779;3.04925e-05
0.10581;3.04949e-05
0.105841;3.04972e-05
0.105872;3.04996e-05
0.105903;3.0502e-05
0.105934;3.05043e-05
0.105965;3.05067e-05
0.105996;3.0509e-05
0.106027;3.05114e-05
0.106058;3.05138e-05
0.106089;3.05161e-05
0.10612;3.05185e-05
0.106151;3.05208e-05
0.106182;3.05232e-05
0.106213;3.05256e-05
0.106244;3.05279e-05
0.106275;3.05303e-05
0.106306;3.05327e-05
0.106337;3.0535e-05
0.106368;3.05374e-05
0.106399;3.05398e-05
0.10643;3.05422e-05
0.106461;3.05445e-05
0.106492;3.05469e-05
0.106523;3.05493e-05
0.106554;3.05516e-05
0.106585;3.0554e-05
0.106615;3.05564e-05
0.106646;3.05588e-05
0.106677;3.05611e-05
0.106708;3.05635e-05
0.106739;3.05659e-05
0.10677;3.05683e-05
0.106801;3.05707e-05
0.106832;3.0573e-05
0.106863;3.05754e-05
0.106894;3.05778e-05
0.106925;3.05802e-05
0.106956;3.05826e-05
0.106987;3.0585e-05
0.107018;3.05874e-05
0.107049;3.05897e-05
0.10708;3.05921e-05
0.107111;3.05945e-05
0.107142;3.05969e-05
0.107173;3.05993e-05
0.107204;3.06017e-05
0.107235;3.06041e-05
0.107266;3.06065e-05
0.107297;3.06089e-05
0.107328;3.06113e-05
0.107359;3.06136e-05
0.10739;3.0616e-05
0.107421;3.06184e-05
0.107452;3.06208e-05
0.107483;3.06232e-05
0.107514;3.06256e-05
0.107545;3.0628e-05
0.107576;3.06304e-05
0.107607;3.06328e-05
0.107638;3.06352e-05
0.107669;3.06376e-05
0.1077;3.064e-05
0.107731;3.06424e-05
0.107762;3.06448e-05
0.107793;3.06473e-05
0.107824;3.06497e-05
0.107855;3.06521e-05
0.107886;3.06545e-05
0.107917;3.06569e-05
0.107948;3.06593e-05
0.107979;3.06617e-05
0.10801;3.06641e-05
0.108041;3.06665e-05
0.108072;3.06689e-05
0.108103;3.06713e-05
0.108134;3.06738e-05
0.108165;3.06762e-05
0.108196;3.06786e-05
0.108227;3.0681e-05
0.108258;3.06834e-05
0.108289;3.06858e-05
0.10832;3.06883e-05
0.108351;3.06907e-05
0.108382;3.06931e-05
0.108413;3.06955e-05
0.108444;3.06979e-05
0.108475;3.07004e-05
0.108506;3.07028e-05
0.108536;3.07052e-05
0.108567;3.07076e-05
0.108598;3.071e-05
0.108629;3.07125e-05
0.10866;3.07149e-05
0.108691;3.07173e-05
0.108722;3.07197e-05
0.108753;3.07222e-05
0.108784;3.07246e-05
0.108815;3.0727e-05
0.108846;3.07295e-05
0.108877;3.07319e-05
0.108908;3.07343e-05
0.108939;3.07368e-05
0.10897;3.07392e-05
0.109001;3.07416e-05
0.109032;3.07441e-05
0.109063;3.07465e-05
0.109094;3.07489e-05
0.109125;3.07514e-05
0.109156;3.07538e-05
0.109187;3.07562e-05
0.109218;3.07587e-05
0.109249;3.07611e-05
0.10928;3.07635e-05
0.109311;3.0766e-05
0.109342;3.07684e-05
0.109373;3.07709e-05
0.109404;3.07733e-05
0.109435;3.07758e-05
0.109466;3.07782e-05
0.109497;3.07806e-05
0.109528;3.07831e-05
0.109559;3.07855e-05
0.10959;3.0788e-05
0.109621;3.07904e-05
0.109652;3.07929e-05
0.109683;3.07953e-05
0.109714;3.07978e-05
0.109745;3.08002e-05
0.109776;3.08027e-05
0.109807;3.08051e-05
0.109838;3.08076e-05
0.109869;3.081e-05
0.1099;3.08125e-05
0.109931;3.08149e-05
0.109962;3.08174e-05
0.109993;3.08198e-05
0.110024;3.08223e-05
0.110055;3.08247e-05
0.110086;3.08272e-05
0.110117;3.08297e-05
0.110148;3.08321e-05
0.110179;3.08346e-05
0.11021;3.0837e-05
0.110241;3.08395e-05
0.110272;3.08419e-05
0.110303;3.08444e-05
0.110334;3.08469e-05
0.110365;3.08493e-05
0.110396;3.08518e-05
0.110427;3.08543e-05
0.110457;3.08567e-05
0.110488;3.08592e-05
0.110519;3.08616e-05
0.11055;3.08641e-05
0.110581;3.08666e-05
0.110612;3.0869e-05
0.110643;3.08715e-05
0.110674;3.0874e-05
0.110705;3.08764e-05
0.110736;3.08789e-05
0.110767;3.08814e-05
0.110798;3.08839e-05
0.110829;3.08863e-05
0.11086;3.08888e-05
0.110891;3.08913e-05
0.110922;3.08937e-05
0.110953;3.08962e-05
0.110984;3.08987e-05
0.111015;3.09012e-05
0.111046;3.09036e-05
0.111077;3.09061e-05
0.111108;3.09086e-05
0.111139;3.09111e-05
0.11117;3.09136e-05
0.111201;3.0916e-05
0.111232;3.09185e-05
0.111263;3.0921e-05
0.111294;3.09235e-05
0.111325;3.09259e-05
0.111356;3.09284e-05
0.111387;3.09309e-05
0.111418;3.09334e-05
0.111449;3.09359e-05
0.11148;3.09384e-05
0.111511;3.09408e-05
0.111542;3.09433e-05
0.111573;3.09458e-05
0.111604;3.09483e-05
0.111635;3.09508e-05
0.111666;3.09533e-05
0.111697;3.09558e-05
0.111728;3.09582e-05
