Time t;Z Position z_t;Signal Amplitude
4.12e-09;-0.00560488;0.309017
4.13e-09;-0.00560488;-0.309017
4.14e-09;-0.00560488;-0.809017
4.15e-09;-0.00560488;-1
4.16e-09;-0.00560488;-0.809017
4.17e-09;-0.00560488;-0.309017
4.18e-09;-0.00560488;0.309017
4.19e-09;-0.00560488;0.809017
4.2e-09;-0.00560488;1
4.21e-09;-0.00560488;0.809017
4.22e-09;-0.00560488;0.309017
4.23e-09;-0.00560488;-0.309017
4.24e-09;-0.00560488;-0.809017
4.25e-09;-0.00560488;-1
4.26e-09;-0.00560488;-0.809017
4.27e-09;-0.00560488;-0.309017
4.28e-09;-0.00560488;0.309017
4.29e-09;-0.00560488;0.809017
4.3e-09;-0.00560488;1
4.31e-09;-0.00560488;0.809017
4.32e-09;-0.00560488;0.309017
4.33e-09;-0.00560488;-0.309017
4.34e-09;-0.00560488;-0.809017
4.35e-09;-0.00560488;-1
4.36e-09;-0.00560488;-0.809017
4.37e-09;-0.00560488;-0.309017
4.38e-09;-0.00560488;0.309017
4.39e-09;-0.00560488;0.809017
4.4e-09;-0.00560488;1
4.41e-09;-0.00560488;0.809017
4.42e-09;-0.00560488;0.309017
4.43e-09;-0.00560488;-0.309017
4.44e-09;-0.00560488;-0.809017
4.45e-09;-0.00560488;-1
4.46e-09;-0.00560488;-0.809017
4.47e-09;-0.00560488;-0.309017
4.48e-09;-0.00560488;0.309017
4.49e-09;-0.00560488;0.809017
4.5e-09;-0.00560488;1
4.51e-09;-0.00560488;0.809017
4.52e-09;-0.00560488;0.309017
4.53e-09;-0.00560488;-0.309017
4.54e-09;-0.00560488;-0.809017
4.55e-09;-0.00560488;-1
4.56e-09;-0.00560488;-0.809017
4.57e-09;-0.00560488;-0.309017
4.58e-09;-0.00560488;0.309017
4.59e-09;-0.00560488;0.809017
4.6e-09;-0.00560488;1
4.61e-09;-0.00560488;0.809017
4.62e-09;-0.00560488;0.309017
4.63e-09;-0.00560488;-0.309017
4.64e-09;-0.00560488;-0.809017
4.65e-09;-0.00560488;-1
4.66e-09;-0.00560488;-0.809017
4.67e-09;-0.00560488;-0.309017
4.68e-09;-0.00560488;0.309017
4.69e-09;-0.00560488;0.809017
4.7e-09;-0.00560488;1
4.71e-09;-0.00560488;0.809017
4.72e-09;-0.00560488;0.309017
4.73e-09;-0.00560488;-0.309017
4.74e-09;-0.00560488;-0.809017
4.75e-09;-0.00560488;-1
4.76e-09;-0.00560488;-0.809017
4.77e-09;-0.00560488;-0.309017
4.78e-09;-0.00560488;0.309017
4.79e-09;-0.00560488;0.809017
4.8e-09;-0.00560488;1
4.81e-09;-0.00560488;0.809017
4.82e-09;-0.00560488;0.309017
4.83e-09;-0.00560488;-0.309017
4.84e-09;-0.00560488;-0.809017
4.85e-09;-0.00560488;-1
4.86e-09;-0.00560488;-0.809017
4.87e-09;-0.00560488;-0.309017
4.88e-09;-0.00560488;0.309017
4.89e-09;-0.00560488;0.809017
4.9e-09;-0.00560488;1
4.91e-09;-0.00560488;0.809017
4.92e-09;-0.00560488;0.309017
4.93e-09;-0.00560488;-0.309017
4.94e-09;-0.00560488;-0.809017
4.95e-09;-0.00560488;-1
4.96e-09;-0.00560488;-0.809017
4.97e-09;-0.00560488;-0.309017
4.98e-09;-0.00560488;0.309017
4.99e-09;-0.00560488;0.809017
5e-09;-0.00560488;-1
5.01e-09;-0.00560488;-0.809017
5.02e-09;-0.00560488;-0.309017
5.03e-09;-0.00560488;0.309017
5.04e-09;-0.00560488;0.809017
5.05e-09;-0.00560488;1
5.06e-09;-0.00560488;0.809017
5.07e-09;-0.00560488;0.309017
5.08e-09;-0.00560488;-0.309017
5.09e-09;-0.00560488;-0.809017
5.1e-09;-0.00560488;-1
5.11e-09;-0.00560488;-0.809017
5.12e-09;-0.00560488;-0.309017
5.13e-09;-0.00560488;0.309017
5.14e-09;-0.00560488;0.809017
5.15e-09;-0.00560488;1
5.16e-09;-0.00560488;0.809017
5.17e-09;-0.00560488;0.309017
5.18e-09;-0.00560488;-0.309017
5.19e-09;-0.00560488;-0.809017
5.2e-09;-0.00560488;-1
5.21e-09;-0.00560488;-0.809017
5.22e-09;-0.00560488;-0.309017
5.23e-09;-0.00560488;0.309017
5.24e-09;-0.00560488;0.809017
5.25e-09;-0.00560488;1
5.26e-09;-0.00560488;0.809017
5.27e-09;-0.00560488;0.309017
5.28e-09;-0.00560488;-0.309017
5.29e-09;-0.00560488;-0.809017
5.3e-09;-0.00560488;-1
5.31e-09;-0.00560488;-0.809017
5.32e-09;-0.00560488;-0.309017
5.33e-09;-0.00560488;0.309017
5.34e-09;-0.00560488;0.809017
5.35e-09;-0.00560488;1
5.36e-09;-0.00560488;0.809017
5.37e-09;-0.00560488;0.309017
5.38e-09;-0.00560488;-0.309017
5.39e-09;-0.00560488;-0.809017
5.4e-09;-0.00560488;-1
5.41e-09;-0.00560488;-0.809017
5.42e-09;-0.00560488;-0.309017
5.43e-09;-0.00560488;0.309017
5.44e-09;-0.00560488;0.809017
5.45e-09;-0.00560488;1
5.46e-09;-0.00560488;0.809017
5.47e-09;-0.00560488;0.309017
5.48e-09;-0.00560488;-0.309017
5.49e-09;-0.00560488;-0.809017
5.5e-09;-0.00560488;-1
5.51e-09;-0.00560488;-0.809017
5.52e-09;-0.00560488;-0.309017
5.53e-09;-0.00560488;0.309017
5.54e-09;-0.00560488;0.809017
5.55e-09;-0.00560488;1
5.56e-09;-0.00560488;0.809017
5.57e-09;-0.00560488;0.309017
5.58e-09;-0.00560488;-0.309017
5.59e-09;-0.00560488;-0.809017
5.6e-09;-0.00560488;-1
5.61e-09;-0.00560488;-0.809017
5.62e-09;-0.00560488;-0.309017
5.63e-09;-0.00560488;0.309017
5.64e-09;-0.00560488;0.809017
5.65e-09;-0.00560488;1
5.66e-09;-0.00560488;0.809017
5.67e-09;-0.00560488;0.309017
5.68e-09;-0.00560488;-0.309017
5.69e-09;-0.00560488;-0.809017
5.7e-09;-0.00560488;-1
5.71e-09;-0.00560488;-0.809017
5.72e-09;-0.00560488;-0.309017
5.73e-09;-0.00560488;0.309017
5.74e-09;-0.00560488;0.809017
5.75e-09;-0.00560488;1
5.76e-09;-0.00560488;0.809017
5.77e-09;-0.00560488;0.309017
5.78e-09;-0.00560488;-0.309017
5.79e-09;-0.00560488;-0.809017
5.8e-09;-0.00560488;-1
5.81e-09;-0.00560488;-0.809017
5.82e-09;-0.00560488;-0.309017
5.83e-09;-0.00560488;0.309017
5.84e-09;-0.00560488;0.809017
5.85e-09;-0.00560488;1
5.86e-09;-0.00560488;0.809017
5.87e-09;-0.00560488;0.309017
5.88e-09;-0.00560488;-0.309017
5.89e-09;-0.00560488;-0.809017
5.9e-09;-0.00560488;-1
5.91e-09;-0.00560488;-0.809017
5.92e-09;-0.00560488;-0.309017
