Time t;Z Position z_t;Signal Gain
5.94e-09;-0.00560488;149.988
5.95e-09;-0.00560488;149.988
5.96e-09;-0.00560488;149.988
5.97e-09;-0.00560488;149.988
5.98e-09;-0.00560488;149.988
5.99e-09;-0.00560488;149.988
6e-09;-0.00560488;149.988
6.01e-09;-0.00560488;149.988
6.02e-09;-0.00560488;149.988
6.03e-09;-0.00560488;149.988
6.04e-09;-0.00560488;149.988
6.05e-09;-0.00560488;149.988
6.06e-09;-0.00560488;149.988
6.07e-09;-0.00560488;149.988
6.08e-09;-0.00560488;149.988
6.09e-09;-0.00560488;149.988
6.1e-09;-0.00560488;149.988
6.11e-09;-0.00560488;149.988
6.12e-09;-0.00560488;149.988
6.13e-09;-0.00560488;149.988
6.14e-09;-0.00560488;149.988
6.15e-09;-0.00560488;149.988
6.16e-09;-0.00560488;149.988
6.17e-09;-0.00560488;149.988
6.18e-09;-0.00560488;149.988
6.19e-09;-0.00560488;149.988
6.2e-09;-0.00560488;149.988
6.21e-09;-0.00560488;149.988
6.22e-09;-0.00560488;149.988
6.23e-09;-0.00560488;149.988
6.24e-09;-0.00560488;149.988
6.25e-09;-0.00560488;149.988
6.26e-09;-0.00560488;149.988
6.27e-09;-0.00560488;149.988
6.28e-09;-0.00560488;149.988
6.29e-09;-0.00560488;149.988
6.3e-09;-0.00560488;149.988
6.31e-09;-0.00560488;149.988
6.32e-09;-0.00560488;149.988
6.33e-09;-0.00560488;149.988
6.34e-09;-0.00560488;149.988
6.35e-09;-0.00560488;149.988
6.36e-09;-0.00560488;149.988
6.37e-09;-0.00560488;149.988
6.38e-09;-0.00560488;149.988
6.39e-09;-0.00560488;149.988
6.4e-09;-0.00560488;149.988
6.41e-09;-0.00560488;149.988
6.42e-09;-0.00560488;149.988
6.43e-09;-0.00560488;149.988
6.44e-09;-0.00560488;149.988
6.45e-09;-0.00560488;149.988
6.46e-09;-0.00560488;149.988
6.47e-09;-0.00560488;149.988
6.48e-09;-0.00560488;149.988
6.49e-09;-0.00560488;149.988
6.5e-09;-0.00560488;149.988
6.51e-09;-0.00560488;149.988
6.52e-09;-0.00560488;149.988
6.53e-09;-0.00560488;149.988
6.54e-09;-0.00560488;149.988
6.55e-09;-0.00560488;149.988
6.56e-09;-0.00560488;149.988
6.57e-09;-0.00560488;149.988
6.58e-09;-0.00560488;149.988
6.59e-09;-0.00560488;149.988
6.6e-09;-0.00560488;149.988
6.61e-09;-0.00560488;149.988
6.62e-09;-0.00560488;149.988
6.63e-09;-0.00560488;149.988
6.64e-09;-0.00560488;149.988
6.65e-09;-0.00560488;149.988
6.66e-09;-0.00560488;149.988
6.67e-09;-0.00560488;149.988
6.68e-09;-0.00560488;149.988
6.69e-09;-0.00560488;149.988
6.7e-09;-0.00560488;149.988
6.71e-09;-0.00560488;149.988
6.72e-09;-0.00560488;149.988
6.73e-09;-0.00560488;149.988
6.74e-09;-0.00560488;149.988
6.75e-09;-0.00560488;149.988
6.76e-09;-0.00560488;149.988
6.77e-09;-0.00560488;149.988
6.78e-09;-0.00560488;149.988
6.79e-09;-0.00560488;149.988
6.8e-09;-0.00560488;149.988
6.81e-09;-0.00560488;149.988
6.82e-09;-0.00560488;149.988
6.83e-09;-0.00560488;149.988
6.84e-09;-0.00560488;149.988
6.85e-09;-0.00560488;149.988
6.86e-09;-0.00560488;149.988
6.87e-09;-0.00560488;149.988
6.88e-09;-0.00560488;149.988
6.89e-09;-0.00560488;149.988
6.9e-09;-0.00560488;149.988
6.91e-09;-0.00560488;149.988
6.92e-09;-0.00560488;149.988
6.93e-09;-0.00560488;149.988
6.94e-09;-0.00560488;149.988
6.95e-09;-0.00560488;149.988
6.96e-09;-0.00560488;149.988
6.97e-09;-0.00560488;149.988
6.98e-09;-0.00560488;149.988
6.99e-09;-0.00560488;149.988
7e-09;-0.00560488;149.988
7.01e-09;-0.00560488;149.988
7.02e-09;-0.00560488;149.988
7.03e-09;-0.00560488;149.988
7.04e-09;-0.00560488;149.988
7.05e-09;-0.00560488;149.988
7.06e-09;-0.00560488;149.988
7.07e-09;-0.00560488;149.988
7.08e-09;-0.00560488;149.988
7.09e-09;-0.00560488;149.988
7.1e-09;-0.00560488;149.988
7.11e-09;-0.00560488;149.988
7.12e-09;-0.00560488;149.988
7.13e-09;-0.00560488;149.988
7.14e-09;-0.00560488;149.988
7.15e-09;-0.00560488;149.988
7.16e-09;-0.00560488;149.988
7.17e-09;-0.00560488;149.988
7.18e-09;-0.00560488;149.988
7.19e-09;-0.00560488;149.988
7.2e-09;-0.00560488;149.988
7.21e-09;-0.00560488;149.988
7.22e-09;-0.00560488;149.988
7.23e-09;-0.00560488;149.988
7.24e-09;-0.00560488;149.988
7.25e-09;-0.00560488;149.988
7.26e-09;-0.00560488;149.988
7.27e-09;-0.00560488;149.988
7.28e-09;-0.00560488;149.988
7.29e-09;-0.00560488;149.988
7.3e-09;-0.00560488;149.988
7.31e-09;-0.00560488;149.988
7.32e-09;-0.00560488;149.988
7.33e-09;-0.00560488;149.988
7.34e-09;-0.00560488;149.988
7.35e-09;-0.00560488;149.988
7.36e-09;-0.00560488;149.988
7.37e-09;-0.00560488;149.988
7.38e-09;-0.00560488;149.988
7.39e-09;-0.00560488;149.988
7.4e-09;-0.00560488;149.988
7.41e-09;-0.00560488;149.988
7.42e-09;-0.00560488;149.988
7.43e-09;-0.00560488;149.988
7.44e-09;-0.00560488;149.988
7.45e-09;-0.00560488;149.988
7.46e-09;-0.00560488;149.988
7.47e-09;-0.00560488;149.988
7.48e-09;-0.00560488;149.988
7.49e-09;-0.00560488;149.988
7.5e-09;-0.00560488;149.988
7.51e-09;-0.00560488;149.988
7.52e-09;-0.00560488;149.988
7.53e-09;-0.00560488;149.988
7.54e-09;-0.00560488;149.988
7.55e-09;-0.00560488;149.988
7.56e-09;-0.00560488;149.988
7.57e-09;-0.00560488;149.988
7.58e-09;-0.00560488;149.988
7.59e-09;-0.00560488;149.988
7.6e-09;-0.00560488;149.988
7.61e-09;-0.00560488;149.988
7.62e-09;-0.00560488;149.988
7.63e-09;-0.00560488;149.988
7.64e-09;-0.00560488;149.988
7.65e-09;-0.00560488;149.988
7.66e-09;-0.00560488;149.988
7.67e-09;-0.00560488;149.988
7.68e-09;-0.00560488;149.988
7.69e-09;-0.00560488;149.988
7.7e-09;-0.00560488;149.988
7.71e-09;-0.00560488;149.988
7.72e-09;-0.00560488;149.988
7.73e-09;-0.00560488;149.988
7.74e-09;-0.00560488;149.988
