Time t;Signal Amplitude
0.105376;0.680489
0.105407;0.751147
0.105438;0.814093
0.105469;0.868682
0.1055;0.914351
0.105531;0.950633
0.105562;0.977156
0.105593;0.993646
0.105624;0.999935
0.105655;0.995958
0.105686;0.981755
0.105717;0.957473
0.105748;0.923361
0.105779;0.87977
0.10581;0.827146
0.105841;0.766029
0.105872;0.697049
0.105903;0.620912
0.105934;0.5384
0.105965;0.45036
0.105996;0.357697
0.106027;0.261362
0.106058;0.162343
0.106089;0.0616574
0.10612;-0.0396611
0.106151;-0.140572
0.106182;-0.240041
0.106213;-0.337044
0.106244;-0.430588
0.106275;-0.51971
0.106306;-0.603497
0.106337;-0.681088
0.106368;-0.751687
0.106399;-0.814568
0.10643;-0.869086
0.106461;-0.914682
0.106492;-0.950887
0.106523;-0.977329
0.106554;-0.993738
0.106585;-0.999944
0.106615;-0.995884
0.106646;-0.981599
0.106677;-0.957237
0.106708;-0.923047
0.106739;-0.879381
0.10677;-0.826686
0.106801;-0.765503
0.106832;-0.696462
0.106863;-0.62027
0.106894;-0.53771
0.106925;-0.44963
0.106956;-0.356934
0.106987;-0.260572
0.107018;-0.161536
0.107049;-0.0608413
0.10708;0.0404781
0.107111;0.141382
0.107142;0.240834
0.107173;0.337814
0.107204;0.431326
0.107235;0.520409
0.107266;0.604149
0.107297;0.681687
0.107328;0.752226
0.107359;0.815042
0.10739;0.869491
0.107421;0.915012
0.107452;0.95114
0.107483;0.977502
0.107514;0.993829
0.107545;0.999952
0.107576;0.995809
0.107607;0.981443
0.107638;0.957
0.107669;0.922732
0.1077;0.878991
0.107731;0.826225
0.107762;0.764977
0.107793;0.695875
0.107824;0.619629
0.107855;0.537021
0.107886;0.4489
0.107917;0.35617
0.107948;0.259783
0.107979;0.160729
0.10801;0.0600251
0.108041;-0.0412952
0.108072;-0.142191
0.108103;-0.241628
0.108134;-0.338584
0.108165;-0.432063
0.108196;-0.521107
0.108227;-0.604801
0.108258;-0.682285
0.108289;-0.752764
0.10832;-0.815516
0.108351;-0.869894
0.108382;-0.915342
0.108413;-0.951392
0.108444;-0.977674
0.108475;-0.993919
0.108506;-0.99996
0.108536;-0.995734
0.108567;-0.981286
0.108598;-0.956763
0.108629;-0.922417
0.10866;-0.878601
0.108691;-0.825764
0.108722;-0.76445
0.108753;-0.695288
0.108784;-0.618987
0.108815;-0.536331
0.108846;-0.448169
0.108877;-0.355405
0.108908;-0.258993
0.108939;-0.159922
0.10897;-0.0592088
0.109001;0.0421121
0.109032;0.143001
0.109063;0.242421
0.109094;0.339353
0.109125;0.4328
0.109156;0.521805
0.109187;0.605452
0.109218;0.682882
0.109249;0.753302
0.10928;0.815989
0.109311;0.870297
0.109342;0.915671
0.109373;0.951643
0.109404;0.977846
0.109435;0.994009
0.109466;0.999967
0.109497;0.995658
0.109528;0.981128
0.109559;0.956524
0.10959;0.922101
0.109621;0.87821
0.109652;0.825303
0.109683;0.763923
0.109714;0.6947
0.109745;0.618344
0.109776;0.535641
0.109807;0.447438
0.109838;0.354641
0.109869;0.258203
0.1099;0.159115
0.109931;0.0583925
0.109962;-0.0429291
0.109993;-0.14381
0.110024;-0.243214
0.110055;-0.340122
0.110086;-0.433537
0.110117;-0.522502
0.110148;-0.606102
0.110179;-0.68348
0.11021;-0.75384
0.110241;-0.816461
0.110272;-0.8707
0.110303;-0.915999
0.110334;-0.951894
0.110365;-0.978017
0.110396;-0.994098
0.110427;-0.999973
0.110457;-0.995582
0.110488;-0.980969
0.110519;-0.956286
0.11055;-0.921784
0.110581;-0.877819
0.110612;-0.824841
0.110643;-0.763395
0.110674;-0.694111
0.110705;-0.617701
0.110736;-0.53495
0.110767;-0.446706
0.110798;-0.353876
0.110829;-0.257413
0.11086;-0.158307
0.110891;-0.0575762
0.110922;0.043746
0.110953;0.144619
0.110984;0.244008
0.111015;0.340891
0.111046;0.434274
0.111077;0.523199
0.111108;0.606752
0.111139;0.684076
0.11117;0.754377
0.111201;0.816933
0.111232;0.871101
0.111263;0.916327
0.111294;0.952144
0.111325;0.978187
0.111356;0.994186
0.111387;0.999979
0.111418;0.995505
0.111449;0.98081
0.11148;0.956046
0.111511;0.921467
0.111542;0.877427
0.111573;0.824378
0.111604;0.762866
0.111635;0.693522
0.111666;0.617058
0.111697;0.534259
0.111728;0.445974
0.111759;0.353111
0.11179;0.256623
0.111821;0.1575
0.111852;0.0567599
0.111883;-0.0445629
0.111914;-0.145428
0.111945;-0.2448
0.111976;-0.341659
0.112007;-0.435011
0.112038;-0.523896
0.112069;-0.607402
0.1121;-0.684672
0.112131;-0.754914
0.112162;-0.817404
0.112193;-0.871503
0.112224;-0.916654
0.112255;-0.952394
0.112286;-0.978356
0.112317;-0.994274
0.112348;-0.999984
0.112378;-0.995427
0.112409;-0.980651
0.11244;-0.955806
0.112471;-0.921149
0.112502;-0.877034
0.112533;-0.823915
0.112564;-0.762337
0.112595;-0.692933
0.112626;-0.616415
0.112657;-0.533567
0.112688;-0.445242
0.112719;-0.352346
0.11275;-0.255833
0.112781;-0.156692
0.112812;-0.0559435
0.112843;0.0453798
0.112874;0.146237
0.112905;0.245593
0.112936;0.342428
0.112967;0.435747
0.112998;0.524592
0.113029;0.608051
0.11306;0.685268
0.113091;0.75545
0.113122;0.817875
0.113153;0.871903
0.113184;0.91698
0.113215;0.952643
0.113246;0.978525
0.113277;0.994361
0.113308;0.999988
0.113339;0.995349
0.11337;0.98049
0.113401;0.955565
0.113432;0.92083
0.113463;0.876641
0.113494;0.823452
0.113525;0.761808
0.113556;0.692343
0.113587;0.61577
0.113618;0.532876
0.113649;0.44451
0.11368;0.351581
0.113711;0.255042
0.113742;0.155885
0.113773;0.055127
0.113804;-0.0461966
0.113835;-0.147046
0.113866;-0.246386
0.113897;-0.343196
0.113928;-0.436483
0.113959;-0.525288
0.11399;-0.6087
0.114021;-0.685864
0.114052;-0.755985
0.114083;-0.818345
0.114114;-0.872304
0.114145;-0.917306
0.114176;-0.952891
0.114207;-0.978693
0.114238;-0.994447
0.114269;-0.999992
0.114299;-0.99527
0.11433;-0.980329
0.114361;-0.955324
0.114392;-0.920511
0.114423;-0.876247
0.114454;-0.822987
0.114485;-0.761278
0.114516;-0.691753
0.114547;-0.615126
0.114578;-0.532184
0.114609;-0.443777
0.11464;0.350815
0.114671;0.254251
0.114702;0.155077
0.114733;0.0543106
0.114764;-0.0470134
0.114795;-0.147855
0.114826;-0.247178
0.114857;-0.343964
0.114888;-0.437218
0.114919;-0.525984
0.11495;-0.609349
0.114981;-0.686458
0.115012;-0.75652
0.115043;-0.818815
0.115074;-0.872703
0.115105;-0.917632
0.115136;-0.953139
0.115167;-0.978861
0.115198;-0.994533
0.115229;-0.999995
0.11526;-0.99519
0.115291;-0.980167
0.115322;-0.955082
0.115353;-0.920191
0.115384;-0.875853
0.115415;-0.822523
0.115446;-0.760748
0.115477;-0.691162
0.115508;-0.614481
0.115539;-0.531491
0.11557;-0.443045
0.115601;-0.350049
0.115632;-0.25346
0.115663;-0.154269
0.115694;-0.053494
0.115725;0.0478302
0.115756;0.148663
0.115787;0.24797
0.115818;0.344731
0.115849;0.437953
0.11588;0.526679
0.115911;0.609997
0.115942;0.687053
0.115973;0.757055
0.116004;0.819284
0.116035;0.873102
0.116066;0.917956
0.116097;0.953386
0.116128;0.979028
0.116159;0.994618
0.11619;0.999997
0.11622;0.995109
0.116251;0.980005
0.116282;0.954839
0.116313;0.919871
0.116344;0.875458
0.116375;0.822057
0.116406;0.760217
0.116437;0.690571
0.116468;0.613836
0.116499;0.530798
0.11653;0.442311
0.116561;0.349283
0.116592;0.252669
0.116623;0.153461
0.116654;0.0526775
0.116685;-0.048647
0.116716;-0.149472
0.116747;-0.248762
0.116778;-0.345499
0.116809;-0.438688
0.11684;-0.527374
0.116871;-0.610645
0.116902;-0.687647
0.116933;-0.757589
0.116964;-0.819753
0.116995;-0.8735
0.117026;-0.91828
0.117057;-0.953633
0.117088;-0.979194
0.117119;-0.994703
0.11715;-0.999999
0.117181;-0.995028
0.117212;-0.979842
0.117243;-0.954596
0.117274;-0.91955
0.117305;-0.875063
0.117336;-0.821591
0.117367;-0.759685
0.117398;-0.689979
0.117429;-0.61319
0.11746;-0.530105
0.117491;-0.441578
0.117522;-0.348517
0.117553;-0.251878
0.117584;-0.152653
0.117615;-0.0518609
0.117646;0.0494637
0.117677;0.15028
0.117708;0.249554
0.117739;0.346266
0.11777;0.439423
0.117801;0.528068
0.117832;0.611292
0.117863;0.68824
0.117894;0.758122
0.117925;0.820221
0.117956;0.873898
0.117987;0.918604
0.118018;0.953878
0.118049;0.97936
0.11808;0.994786
0.118111;1
0.118141;0.994946
0.118172;0.979678
0.118203;0.954352
0.118234;0.919228
0.118265;0.874666
0.118296;0.821125
0.118327;0.759153
0.118358;0.689387
0.118389;0.612544
0.11842;0.529412
0.118451;0.440844
0.118482;0.34775
0.118513;0.251087
0.118544;0.151845
0.118575;0.0510443
0.118606;-0.0502804
0.118637;-0.151089
0.118668;-0.250346
0.118699;-0.347033
0.11873;-0.440157
0.118761;-0.528763
0.118792;-0.611939
0.118823;-0.688833
0.118854;-0.758655
0.118885;-0.820688
0.118916;-0.874295
0.118947;-0.918927
0.118978;-0.954123
0.119009;-0.979525
0.11904;-0.994869
0.119071;-1
